fsq_id,categories,closed_bucket,distance,location,name,latitude,longitude
4ae0c7a8f964a520638221e3,Indian Restaurant,VeryLikelyOpen,783,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",Udupi Palace,43.67205,-79.322451
5859d15c1d21ba53f2f9b4ef,Bar,VeryLikelyOpen,809,"1471 Gerrard St E, Toronto ON M4L 2A1",Lake Inez,43.672346,-79.320804
4c1169396e5dc9b61b10b02d,Burger Joint,VeryLikelyOpen,377,"1636 Queen St E (btwn Coxwell Ave. & Kingston Rd.), Toronto ON M4L 1G3",The Burger's Priest,43.666763,-79.315564
4ad9ebdcf964a520e61b21e3,Diner,VeryLikelyOpen,129,"1483 Queen St E, Toronto ON M4L 1E2",Chick-N-Joy,43.665121,-79.321347
54302333498ed6ec0533ab40,Egyptian Restaurant,VeryLikelyOpen,1001,"226 Greenwood Ave (Sandford Avenue), Toronto ON M4L 2R2",Maha's Fine Egyptian Cuisine,43.671682,-79.328462
601ea2a0f21ba75f3fb7632f,Café,VeryLikelyOpen,522,"1347 Queen St E (Knox Aveneue), Toronto ON M4L 1C6",Omnia Coffee Roasters,43.66388,-79.326107
4fd52f42e4b0b916eb02ab1b,Pizzeria,LikelyOpen,300,"6 Coxwell Ave (Queen), Toronto ON M4L 3A7",O Sushi,43.666623,-79.316861
59172e0169e77b035cdbe7bd,Ice Cream Parlor,LikelyOpen,600,"1698 Queen St W, Scarborough ON M6R 1B3",Brett's Ice Cream,43.667418,-79.312824
5cb8888dc0cacb002cf98062,Bistro,VeryLikelyOpen,880,"1300 Gerrard St E (Greenwood ave), Toronto ON M4L 1Y7",Le Conciliabule,43.671324,-79.32719
4b942922f964a520f16b34e3,Fish and Chips Shop,LikelyOpen,439,"73 Coxwell Ave (Dundas St & Coxwell St), Toronto ON M4L 3B1",British Style Fish & Chips,43.668614,-79.317268
5a2a9708ccad6b57983d95e3,Indian Restaurant,VeryLikelyOpen,284,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",Balzac's Coffee Roasters,43.67205,-79.322451
5753753b498eeb535c53aed5,Bar,VeryLikelyOpen,581,"1471 Gerrard St E, Toronto ON M4L 2A1",The Greater Good Bar,43.672346,-79.320804
4b5c7ad5f964a520df3129e3,Burger Joint,VeryLikelyOpen,603,"1636 Queen St E (btwn Coxwell Ave. & Kingston Rd.), Toronto ON M4L 1G3",Tre Mari Bakery,43.666763,-79.315564
572e0547498ed619e59df508,Diner,VeryLikelyOpen,729,"1483 Queen St E, Toronto ON M4L 1E2",Hale Coffee,43.665121,-79.321347
5a5659ab17556229a036b74a,Egyptian Restaurant,VeryLikelyOpen,617,"226 Greenwood Ave (Sandford Avenue), Toronto ON M4L 2R2",Parallel,43.671682,-79.328462
4b81a826f964a520c9b530e3,Café,VeryLikelyOpen,657,"1347 Queen St E (Knox Aveneue), Toronto ON M4L 1C6",Rio 40 Restaurant,43.66388,-79.326107
4fef6339e4b0caa9ac6d011e,Pizzeria,VeryLikelyOpen,706,"6 Coxwell Ave (Queen), Toronto ON M4L 3A7",King's Tacos,43.666623,-79.316861
4dd5dc2445ddced820612749,Ice Cream Parlor,VeryLikelyOpen,733,"1698 Queen St W, Scarborough ON M6R 1B3",Pizza e Pazzi,43.667418,-79.312824
4bce35a1fb84c9b60272233e,Bistro,LikelyOpen,654,"1300 Gerrard St E (Greenwood ave), Toronto ON M4L 1Y7",Piri-Piri,43.671324,-79.32719
4f14a5cbe4b072565fe420b4,Fish and Chips Shop,VeryLikelyOpen,674,"73 Coxwell Ave (Dundas St & Coxwell St), Toronto ON M4L 3B1",California Sushi,43.668614,-79.317268
4c1169396e5dc9b61b10b02d,Indian Restaurant,VeryLikelyOpen,180,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",The Burger's Priest,43.67205,-79.322451
5859d15c1d21ba53f2f9b4ef,Bar,VeryLikelyOpen,740,"1471 Gerrard St E, Toronto ON M4L 2A1",Lake Inez,43.672346,-79.320804
4fd52f42e4b0b916eb02ab1b,Burger Joint,LikelyOpen,100,"1636 Queen St E (btwn Coxwell Ave. & Kingston Rd.), Toronto ON M4L 1G3",O Sushi,43.666763,-79.315564
4ae0c7a8f964a520638221e3,Diner,VeryLikelyOpen,751,"1483 Queen St E, Toronto ON M4L 1E2",Udupi Palace,43.665121,-79.321347
59172e0169e77b035cdbe7bd,Egyptian Restaurant,LikelyOpen,406,"226 Greenwood Ave (Sandford Avenue), Toronto ON M4L 2R2",Brett's Ice Cream,43.671682,-79.328462
4b942922f964a520f16b34e3,Café,LikelyOpen,281,"1347 Queen St E (Knox Aveneue), Toronto ON M4L 1C6",British Style Fish & Chips,43.66388,-79.326107
4ba0153bf964a520995837e3,Pizzeria,VeryLikelyOpen,205,"6 Coxwell Ave (Queen), Toronto ON M4L 3A7",Casa Di Giorgios,43.666623,-79.316861
5cb8888dc0cacb002cf98062,Ice Cream Parlor,VeryLikelyOpen,934,"1698 Queen St W, Scarborough ON M6R 1B3",Le Conciliabule,43.667418,-79.312824
4ad9ebdcf964a520e61b21e3,Bistro,VeryLikelyOpen,319,"1300 Gerrard St E (Greenwood ave), Toronto ON M4L 1Y7",Chick-N-Joy,43.671324,-79.32719
5c4228e1e17910002cd1a07e,Fish and Chips Shop,VeryLikelyOpen,727,"73 Coxwell Ave (Dundas St & Coxwell St), Toronto ON M4L 3B1",Glory Hole Doughnuts,43.668614,-79.317268
574ad72238fa943556d93b8e,Indian Restaurant,VeryLikelyOpen,233,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",Gyu-Kaku BBQ,43.67205,-79.322451
506db1a9e4b0a3f3b31412f0,Bar,LikelyOpen,276,"1471 Gerrard St E, Toronto ON M4L 2A1",Richmond Station,43.672346,-79.320804
