id,name,is_closed,review_count,categories,rating,location,display_phone,distance,latitude,longitude
IVnLsgz_qo8NWVhR09SF3Q,East York Deli,False,2,Delis,5.0,"903 Coxwell Ave,Toronto,M4C 2T9,ON,CA",+1 416-429-3663,3263.0431382998786,43.69404,-79.3276
xWlb7E10Ysb8PxM0eciecA,Oak Park Deli,False,24,Delis,4.5,"213 Oak Park Avenue,East York,M4C 4N2,ON,CA",+1 416-424-3354,3275.7586307193906,43.69388,-79.31004
VmIWtyejlvSOIDoBGztNag,Casa Mia Delicatessen & Fine Foods,False,6,Cheese Shops,3.5,"1985 Queen Street E,Toronto,M4L 1J1,ON,CA",+1 647-349-1340,1578.8429133538618,43.6703271666323,-79.3014545530016
0bWa6gq8KST_Gopiy5klcA,Plank Road Market,False,8,Grocery,4.5,"1716 Danforth Avenue,Toronto,M4C 1H8,ON,CA",+1 416-463-5474,2114.6185643971053,43.68436,-79.32021
ptmG_KjwGVszU0sPpFGXJQ,Scheffler's Delicatessen,False,26,Delis,4.5,"93 Front St E,Toronto,M5E 1C3,ON,CA",+1 416-364-2806,4553.128807139343,43.64914,-79.37157
-ug8U8rDNpW5s_4qCowtzg,Hastings Snack Bar,False,43,Polish,4.5,"5 Hastings Avenue,Toronto,M4L 2L1,ON,CA",+1 647-850-9260,755.3857132342414,43.66381,-79.32893
RZ48zp2J2SWUy-lZ4PHZrw,Sanagan's Meat Locker,False,7,Meat Shops,4.5,"1513 Gerrard Street E,Toronto,M4L 2A4,ON,CA",+1 416-593-9747,827.6746589785661,43.67259,-79.31941
oMgDbkk0hlPYFUmwAOVjgQ,Leslieville Pumps,False,122,Sandwiches,3.5,"913 Queen Street E,Toronto,M4M 1J4,ON,CA",+1 416-465-1313,1819.6672571448591,43.660616433760254,-79.34148396015718
TZV9-wFayjwO1Bz6yStooA,Elm Street Italian Deli,False,31,Delis,4.5,"15 Elm Street,Toronto,M5G 1H1,ON,CA",,5113.7061199097425,43.6575780313391,-79.382470920682
cUoibCGFcHvtwWGDRWBj1A,Stack'd Deli Kitchen,False,5,Salad,5.0,"93 Front Street E,Toronto,M5E 0A3,ON,CA",,4552.95622573769,43.64869173052196,-79.3715454
